pixel_gauss,pixel_init,pixel_shift,wavelength
1695.878619514806,1696,-0.12138048519409494,4764.865
1556.1671063171361,1556,0.1671063171361311,5167.487
1520.6643066059253,1521,-0.335693394074724,5269.537
1317.6900380750672,1318,-0.3099619249328498,5852.4878
1232.6657239974386,1233,-0.33427600256140977,6096.163
1216.2614314543616,1216,0.2614314543616274,6143.0627
1125.8365718131765,1126,-0.1634281868234666,6402.248
1029.459998826328,1029,0.45999882632804656,6678.2766
929.1768323855434,929,0.1768323855434346,6965.431
893.6440102765882,893,0.644010276588233,7067.218
821.9787359295167,822,-0.021264070483312025,7272.936
783.284202811702,783,0.28420281170201633,7383.98
695.7771397627806,695,0.7771397627806209,7635.105
664.9548036909357,665,-0.04519630906429484,7723.761
587.1184391426164,588,-0.8815608573836471,7948.175
477.4838585504474,477,0.483858550447394,8264.521
388.6420953665646,388,0.6420953665646039,8521.441
338.29349419499846,339,-0.7065058050015409,8667.944
181.87420396352113,182,-0.12579603647887438,9122.967
147.33419457854305,148,-0.6658054214569518,9224.499
